epoch,method,cohort,stat,value,n
20,P0,anomaly,p99,0.0016091500630136728,12879552
20,P0,anomaly,p99.5,0.009789843899197051,12879552
20,P0,anomaly,p99.9,0.5047151910066539,12879552
20,P0,all,top_precision_0.001,0.626383011762879,25759
20,P0,all,top_precision_0.005,0.21693220286344297,128796
20,P0,all,top_precision_0.01,0.12432111370350672,257591
20,P0,all,top_precision_0.02,0.06717043685532491,515182
20,P0,all,top_precision_0.05,0.0275654040707944,1287955
20,P05,normal,p10,2.616049599168946e-09,12879552
20,P05,normal,p50,2.8467121993003275e-09,12879552
20,P05,normal,p90,5.817347492609315e-09,12879552
20,P05,normal,p95,8.581591437462066e-09,12879552
20,P05,normal,p99,2.4342936946197855e-08,12879552
20,P05,normal,p99.5,3.733685929319085e-08,12879552
20,P05,normal,p99.9,9.700252094546007e-08,12879552
20,P05,anomaly,p10,3.213098231924505e-09,12879552
20,P05,anomaly,p50,7.254513878507396e-09,12879552
20,P05,anomaly,p90,1.557889106607036e-07,12879552
20,P05,anomaly,p95,1.6477146232318657e-06,12879552
20,P05,anomaly,p99,0.0016174055158626364,12879552
20,P05,anomaly,p99.5,0.009831944187171213,12879552
20,P05,anomaly,p99.9,0.5052161695360949,12879552
20,P05,all,top_precision_0.001,0.626383011762879,25759
20,P05,all,top_precision_0.005,0.21693996707972296,128796
20,P05,all,top_precision_0.01,0.12430946733387424,257591
20,P05,all,top_precision_0.02,0.06717626004014116,515182
20,P05,all,top_precision_0.05,0.0275630747968679,1287955
20,C0,normal,p10,2.2966653023814843e-09,12879552
20,C0,normal,p50,2.4686195310152925e-09,12879552
20,C0,normal,p90,4.233861705671416e-09,12879552
20,C0,normal,p95,6.337524283139828e-09,12879552
20,C0,normal,p99,2.842014467319151e-08,12879552
20,C0,normal,p99.5,4.906168840079749e-08,12879552
20,C0,normal,p99.9,1.0275439720430626e-07,12879552
20,C0,anomaly,p10,2.7616660069895715e-09,12879552
20,C0,anomaly,p50,6.403575447677667e-09,12879552
20,C0,anomaly,p90,1.8452514893851912e-07,12879552
20,C0,anomaly,p95,1.3658308603225868e-06,12879552
20,C0,anomaly,p99,0.0002308814122807235,12879552
20,C0,anomaly,p99.5,0.0026101605943401425,12879552
20,C0,anomaly,p99.9,0.34801528236269347,12879552
20,C0,all,top_precision_0.001,0.6616328273613106,25759
20,C0,all,top_precision_0.005,0.24602472126463554,128796
20,C0,all,top_precision_0.01,0.13422052789111422,257591
20,C0,all,top_precision_0.02,0.06940459876315555,515182
20,C0,all,top_precision_0.05,0.028402389835048586,1287955
20,C05,normal,p10,2.4105877294289257e-09,12879552
20,C05,normal,p50,2.579763735965912e-09,12879552
20,C05,normal,p90,4.37497948979626e-09,12879552
20,C05,normal,p95,6.545787023526373e-09,12879552
20,C05,normal,p99,2.9264027858744232e-08,12879552
20,C05,normal,p99.5,5.035630934457913e-08,12879552
20,C05,normal,p99.9,1.0524287724677842e-07,12879552
20,C05,anomaly,p10,2.8513202909863367e-09,12879552
20,C05,anomaly,p50,6.546236441806741e-09,12879552
20,C05,anomaly,p90,1.8728286050873073e-07,12879552
20,C05,anomaly,p95,1.3802796786421754e-06,12879552
20,C05,anomaly,p99,0.00023242914874572356,12879552
20,C05,anomaly,p99.5,0.002618851155275472,12879552
20,C05,anomaly,p99.9,0.3484667522608365,12879552
20,C05,all,top_precision_0.001,0.6617492915097636,25759
20,C05,all,top_precision_0.005,0.24602472126463554,128796
20,C05,all,top_precision_0.01,0.13422441001432503,257591
20,C05,all,top_precision_0.02,0.06940459876315555,515182
20,C05,all,top_precision_0.05,0.02840316625969075,1287955
