arm,category,component,count,max,mean,min,stage,std
A,candle,gap_normal,54,0.5810929536819458,0.3333333432674408,0.057663753628730774,3,0.20058834552764893
A,candle,gap_abnormal,54,0.5537903308868408,0.333333283662796,0.031226282939314842,3,0.21145190298557281
A,candle,ss2d_normal,54,1.0,0.3333333432674408,1.807599303971315e-29,3,0.471404492855072
A,candle,ss2d_abnormal,54,1.0,0.3333333432674408,1.6143742139330897e-36,3,0.471404492855072
A,candle,final_normal,54,0.5229836702346802,0.3333333432674408,0.1518973708152771,3,0.13846340775489807
A,candle,final_abnormal,54,0.49841129779815674,0.3333333432674408,0.12810365855693817,3,0.1449403166770935
A,candle,entropy_normal,18,1.017004132270813,1.0085638761520386,0.9905508756637573,3,0.009988091886043549
A,candle,entropy_abnormal,18,0.9990345239639282,0.9922295808792114,0.978137731552124,3,0.00795159861445427
A,candle,routing_l1,18,0.09673218429088593,0.09055214375257492,0.08766430616378784,3,0.003415114479139447
A,candle,gap_ss2d_l1,18,1.8846724033355713,1.8547003269195557,1.8400506973266602,3,0.017034858465194702
H,candle,gap_normal,54,0.5601983070373535,0.333333283662796,0.09470409154891968,1,0.1898122876882553
H,candle,gap_abnormal,54,0.5611742734909058,0.333333283662796,0.044463519006967545,1,0.2150295376777649
H,candle,ss2d_normal,54,0.9999994039535522,0.3333333432674408,1.946568872807488e-23,1,0.4714040756225586
H,candle,ss2d_abnormal,54,0.9999666213989258,0.3333333432674408,4.27426974298063e-33,1,0.4713808298110962
H,candle,final_normal,54,0.6041784286499023,0.3333333432674408,0.08523368090391159,1,0.21209025382995605
H,candle,final_abnormal,54,0.6050535440444946,0.3333333432674408,0.04001716524362564,1,0.2309073805809021
H,candle,entropy_normal,18,0.8799800872802734,0.8783234357833862,0.877479612827301,1,0.0006223429809324443
H,candle,entropy_abnormal,18,0.8029197454452515,0.8012773990631104,0.8004439473152161,1,0.0006160092889331281
H,candle,routing_l1,18,0.091008260846138,0.09062768518924713,0.09043307602405548,1,0.00014319890760816634
