scope,arm,map,score_space,auroc,ap,pixel_count,positive_mean,positive_median,interior_mean,interior_median,boundary_mean,boundary_median,near_p95,near_p99,far_p95,far_p99,near_gt_positive_inversion,near_gt_interior_inversion,near_p95_over_interior_p95,near_p99_over_interior_p99,near_gt_far_p95,near_gt_interior_p95,stage,near_mean,far_mean,checkpoint,resolution,bin,count,mean,median,p90,p95,p99,max,distance_spearman,distance_linear_slope,sample_seed,sample_cap,family,parameter_count,l2_delta,reference_l2,final_l2,relative_l2_delta,cosine_to_e10
distance,CONTROL,CONTROL_stage_2_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,3-4,18627,0.11235928322908671,4.974920375389047e-05,0.553101670742035,0.8953597128391266,0.9981085753440857,0.9998781681060791,,,,,,,,,,,
distance,CONTROL,CONTROL_stage_2_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,5-8,41079,0.05492133471409576,1.0973219104926102e-05,0.11331628113985105,0.45683982968330367,0.9531866014003755,0.9994363188743591,,,,,,,,,,,
distance,CONTROL,CONTROL_stage_2_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,9-16,98668,0.011242862809324936,9.286060844715394e-07,0.0029880926711484852,0.027204279229044878,0.33747338026762014,0.9876497387886047,,,,,,,,,,,
distance,CONTROL,CONTROL_stage_2_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,>16,12652272,0.0009510766453140999,4.0539811507755985e-09,1.5051913493380198e-08,1.581466868572079e-08,5.569046368236608e-07,0.9999794960021973,,,,,,,,,,,
distance,CONTROL,CONTROL_stage_2_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,ALL_OUTSIDE,200000,,,,,,,-0.2099519293436666,-2.000149051447747e-05,1729,200000,,,,,,,
distance,CONTROL,CONTROL_stage_3_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,1,9875,0.16432598290456926,5.364509343053214e-05,0.8409121274948123,0.9538792669773101,0.9883456826210022,0.9945892095565796,,,,,,,,,,,
distance,CONTROL,CONTROL_stage_3_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,2,9000,0.15360580062956514,2.9286969947861508e-05,0.8063199758529666,0.9469115793704986,0.987045893073082,0.9946210384368896,,,,,,,,,,,
distance,CONTROL,CONTROL_stage_3_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,3-4,18627,0.13373284389031753,1.708015588519629e-05,0.7256804466247563,0.9311258316040041,0.9859953618049622,0.994432270526886,,,,,,,,,,,
distance,CONTROL,CONTROL_stage_3_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,5-8,41079,0.09063456379004331,4.369987891550409e-06,0.38479251861572333,0.8186833262443537,0.9772973167896272,0.9938955903053284,,,,,,,,,,,
distance,CONTROL,CONTROL_stage_3_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,9-16,98668,0.04210832923823603,5.350901233214245e-07,0.030138297379016896,0.28640898913144996,0.954194632768631,0.9927472472190857,,,,,,,,,,,
distance,CONTROL,CONTROL_stage_3_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,>16,12652272,0.000600696351721953,8.029355846872477e-09,2.2861861737055733e-08,2.8166198262624675e-08,1.6672396191095999e-06,0.9898682832717896,,,,,,,,,,,
distance,CONTROL,CONTROL_stage_3_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,ALL_OUTSIDE,200000,,,,,,,-0.12756949800274417,-2.9775219540070106e-05,1729,200000,,,,,,,
distance,CONTROL,CONTROL_final_production_fused,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,1,9875,0.0857377576307011,4.427051680977456e-05,0.32667155861854574,0.669205182790755,0.9471477806568147,0.998310923576355,,,,,,,,,,,
distance,CONTROL,CONTROL_final_production_fused,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,2,9000,0.06846390408409059,3.248713801440317e-05,0.21225637346506124,0.547794434428215,0.899265851378441,0.9968404769897461,,,,,,,,,,,
distance,CONTROL,CONTROL_final_production_fused,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,3-4,18627,0.04606713507974786,2.1057949197711423e-05,0.08923588544130329,0.34939706921577524,0.8019697332382216,0.9935372471809387,,,,,,,,,,,
distance,CONTROL,CONTROL_final_production_fused,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,5-8,41079,0.018108344511240857,5.893708475923631e-06,0.01822928562760353,0.0705118834972381,0.5343229818344121,0.9050655364990234,,,,,,,,,,,
distance,CONTROL,CONTROL_final_production_fused,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,9-16,98668,0.003304930550025362,8.296728992718272e-07,0.0010812668711878371,0.005479994695633637,0.08393918871879591,0.6338096261024475,,,,,,,,,,,
distance,CONTROL,CONTROL_final_production_fused,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,>16,12652272,0.00015083773837527582,8.67549765359854e-09,3.290889090123985e-08,5.5254389685899164e-08,8.542241533859756e-07,0.9078419804573059,,,,,,,,,,,
distance,CONTROL,CONTROL_final_production_fused,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,ALL_OUTSIDE,200000,,,,,,,-0.27829244782169754,-7.135154022616502e-06,1729,200000,,,,,,,
