cohort,stage,point,resolution,image_count,target_count_total,context_count_total,baseline_mean,baseline_median,baseline_p95,control_a_mean,control_a_median,control_a_p95,candidate_mean,candidate_median,candidate_p95,candidate_minus_control_mean,candidate_minus_control_median,candidate_minus_control_p95,candidate_minus_baseline_mean,candidate_minus_baseline_median,candidate_minus_baseline_p95,control_minus_baseline_mean,control_minus_baseline_median,control_minus_baseline_p95
B,2,final_fusion,full,44,3229,653,-16.752473397688433,-16.70229721069336,-14.726037311553954,-16.752562284469604,-16.702263832092285,-14.726132011413574,-17.49746136231856,-17.602314949035645,-16.047157192230223,-0.7448990778489546,-0.7873730659484863,-0.0034329414367675775,-0.744987964630127,-0.7874174118041992,-0.003414440155029296,-8.888678117231889e-05,-7.343292236328125e-05,9.236335754394536e-05
B,3,pre_lora,native,44,3229,653,-8.13416628404097,-8.413444995880127,-6.89237163066864,-8.134195826270364,-8.413444995880127,-6.892502951622009,-8.134195826270364,-8.413444995880127,-6.892502951622009,0.0,0.0,0.0,-2.954222939231179e-05,0.0,0.00018086433410644532,-2.954222939231179e-05,0.0,0.00018086433410644532
B,3,convlora_output,native,44,3229,653,-8.14426285570318,-8.360095024108887,-6.975526928901672,-8.144236835566433,-8.36014699935913,-6.975350308418274,-8.182083476673473,-8.39412260055542,-7.1842951536178585,-0.03784664110703902,-0.007161617279052734,0.02354640960693361,-0.037820620970292526,-0.007161617279052734,0.02354640960693361,2.6020136746493254e-05,0.0,0.0001820802688598633
B,3,post_seg_projection,native,44,3229,653,-8.14426285570318,-8.360095024108887,-6.975526928901672,-8.144236835566433,-8.36014699935913,-6.975350308418274,-8.182083476673473,-8.39412260055542,-7.1842951536178585,-0.03784664110703902,-0.007161617279052734,0.02354640960693361,-0.037820620970292526,-0.007161617279052734,0.02354640960693361,2.6020136746493254e-05,0.0,0.0001820802688598633
B,3,dfg_qk_compatibility,native,44,3229,653,-11.056107954545455,-11.11328125,-10.328125,-11.056640625,-11.11328125,-10.328125,-11.051846590909092,-11.1015625,-10.3125,0.004794034090909091,0.00390625,0.015625,0.004261363636363636,0.0,0.015625,-0.0005326704545454545,0.0,0.0
B,3,ss2d_input,native,44,3229,653,-8.502116051587192,-8.543127059936523,-7.887627387046814,-8.502015601504933,-8.54280138015747,-7.887696027755737,-8.490390820936723,-8.53202199935913,-7.885087251663208,0.011624780568209562,0.008463382720947266,0.03237695693969727,0.011725230650468306,0.008618831634521484,0.03248372077941895,0.00010045008225874467,4.291534423828125e-05,0.0005803108215332033
B,3,ss2d_output,native,44,3229,653,3.935496996749531,4.055800199508667,4.318927693367004,3.935473306612535,4.055805444717407,4.318890786170959,3.9347329356453637,4.05577278137207,4.31741840839386,-0.0007403709671714089,-0.0005124807357788086,-1.0824203491210925e-05,-0.0007640611041675915,-0.0005352497100830078,-1.084804534912109e-05,-2.3690136996182527e-05,-1.811981201171875e-05,1.840591430664063e-05
B,3,stage_logits_pre_blur,native,44,3229,653,-17.72244988788258,-18.091832160949707,-15.559674501419067,-17.7224957075986,-18.091721534729004,-15.559513807296753,-17.800788489255037,-18.084413528442383,-15.8777446269989,-0.07829278165643866,-0.012645721435546875,0.04605760574340824,-0.07833860137245872,-0.012842178344726562,0.047177982330322304,-4.581971602006392e-05,0.0,0.0009455680847167973
B,3,stage_logits_post_blur,native,44,3229,653,-17.20546007156372,-17.453444480895996,-14.430223512649535,-17.205448259006847,-17.45404052734375,-14.43013753890991,-17.925862138921563,-18.093801498413086,-16.637547874450682,-0.7204138799147173,-0.6356191635131836,-0.0005565643310546837,-0.7204020673578436,-0.6360416412353516,-0.00078496932983398,1.1812556873668324e-05,0.0,0.0010608673095703126
B,3,stage_map_post_resize,full,44,3229,653,-17.050522782585837,-17.315622329711914,-14.02756562232971,-17.05049774863503,-17.315756797790527,-14.02708716392517,-17.90155267715454,-18.083112716674805,-16.49976177215576,-0.851054928519509,-0.7644052505493164,0.0003171920776367244,-0.8510298945687034,-0.7646293640136719,2.9659271240240577e-05,2.5033950805664062e-05,-8.58306884765625e-05,0.000875377655029297
B,3,final_fusion,full,44,3229,653,-16.752473289316352,-16.70229721069336,-14.726037311553954,-16.75246490131725,-16.702343940734863,-14.725815057754517,-17.03615002198653,-17.083203315734863,-15.045533227920531,-0.28368512066927826,-0.2548027038574219,0.00010528564453125188,-0.2836767326701771,-0.25487613677978516,9.441375732423968e-06,8.387999101118607e-06,-2.956390380859375e-05,0.00029001235961914065
