target,epoch,method,alpha,n_images,target_count,image_metric_support,pixel_auroc,pixel_ap,image_auroc,image_ap,checkpoint_sha256,config_sha256,evaluator_git_sha,evaluator_sha256,source,status
Retina,12,A0,,1805,,,0.9314499132775512,0.39064672818886254,0.8315768164923981,0.7998809803466937,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_anchor_checkpoint,COMPLETE
Retina,12,A05,0.5,1805,,,0.931307901119784,0.3903092865150149,0.8315805885400164,0.7998946993956608,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_anchor_checkpoint,COMPLETE
Colon_clinicDB,12,P,,612,1,0,0.8651995864041112,0.4604288777578717,,,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
Colon_clinicDB,12,C_OLD_0,,612,1,0,0.8212153134362815,0.3799865278807084,,,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
Colon_clinicDB,12,C_OLD_05,0.5,612,1,0,0.8210890215501874,0.3799024997517558,,,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
Colon_clinicDB,12,A0,,612,,,0.8734471856314221,0.4865993976609125,,,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_anchor_checkpoint,COMPLETE
Colon_clinicDB,12,A05,0.5,612,,,0.8733262171507595,0.48651978030485743,,,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_anchor_checkpoint,COMPLETE
Colon_colonDB,12,P,,380,1,0,0.8255413526137173,0.27352580130574883,,,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
Colon_colonDB,12,C_OLD_0,,380,1,0,0.8114314870138133,0.29778734900917503,,,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
Colon_colonDB,12,C_OLD_05,0.5,380,1,0,0.8113421876552669,0.2977478096635459,,,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
Colon_colonDB,12,A0,,380,,,0.8282146448253072,0.28314480154084076,,,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_anchor_checkpoint,COMPLETE
Colon_colonDB,12,A05,0.5,380,,,0.8280644566029641,0.28304810697085353,,,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_anchor_checkpoint,COMPLETE
Colon_Kvasir,12,P,,1000,1,0,0.8478697965083609,0.5306139762707818,,,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
Colon_Kvasir,12,C_OLD_0,,1000,1,0,0.8079861647181491,0.47682418034279167,,,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
Colon_Kvasir,12,C_OLD_05,0.5,1000,1,0,0.8079080174224353,0.47678715476166944,,,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
