class,outer_fold,family,config_id,matched_win,b1_matched_win,delta_vs_b1,aligned_minus_shifted,C_AP_delta,R_pos_delta,R_neg_delta,pixel_auroc,pixel_ap
grid,FOLD_1,PGM,pgm_sum_whitened_mean,0.8061110222364422,0.8395456726923692,-0.033434650455927084,0.35738281874900013,-0.010772631468192448,-0.033664366145305984,-0.01927898569906697,0.9703150552837518,0.4268455078230913
capsule,FOLD_1,PGM,pgm_sum_whitened_mean,0.7716502190089187,0.7256319594701567,0.04601825953876204,0.4060900311362078,0.007596270075180538,0.03968675968699814,-0.01094410994178846,0.9513757354252235,0.18330747183897989
hazelnut,FOLD_1,PGM,pgm_sum_whitened_mean,0.4102731882872567,0.5327989530508752,-0.12252576476361854,0.004253230819564857,-0.004385287526756407,-0.008278799889868082,-0.005488899854090314,0.9396758301167808,0.20992287596847267
leather,FOLD_2,PGM,pgm_max_whitened_mean,0.8437649307214524,0.8115145723841376,0.03225035833731482,0.2921643573817486,-0.0021248751691430763,-0.005805405984431591,-0.021588930089511335,0.9925885768570447,0.4798105312403508
metal_nut,FOLD_2,PGM,pgm_max_whitened_mean,0.6939419299248016,0.7071099697889475,-0.01316803986414583,0.2629363415526938,0.012365706433019763,0.038277958124478234,-0.005633444958421396,0.7688801042120003,0.31350521833819744
pill,FOLD_2,PGM,pgm_max_whitened_mean,0.7197113103153372,0.537298644681195,0.18241266563414216,0.21947403826598466,0.016561166018805036,0.02889390958872181,-0.0023270210135697897,0.852910048144333,0.18345462739597063
tile,FOLD_3,PGM,pgm_sum_whitened_mean,0.5984976535411358,0.5763250215751659,0.02217263196596997,0.11500712363463672,0.01181509566539482,0.022223417034079762,-0.00624192006190491,0.8440175126086945,0.5354020900769325
screw,FOLD_3,PGM,pgm_sum_whitened_mean,0.6241830065359477,0.5535947712418301,0.07058823529411762,0.11503267973856213,0.00024652502899581014,0.0018361565681432046,-0.0013351979777119077,0.9658654933350304,0.057688166580326806
transistor,FOLD_3,PGM,pgm_sum_whitened_mean,0.5105578447746114,0.47885226557286814,0.03170557920174327,0.06237818233912529,-0.00047112103070199446,0.009954271860983728,-0.0038868913526384045,0.6324309996379902,0.08459910237364253
wood,FOLD_4,PGM,pgm_max_whitened_mean,0.6749366375668826,0.6733032948465221,0.001633342720360531,0.22021965643480712,0.0030681203215488645,0.015501514879782428,-0.012794439386213295,0.9272648218121102,0.5782305641347344
toothbrush,FOLD_4,PGM,pgm_max_whitened_mean,0.6641152633948672,0.7442593426384512,-0.08014407924358402,0.21521837010355693,-0.0028545393552159536,-0.004849210378051735,-0.003674151652988145,0.9288562001757693,0.1445237906117898
zipper,FOLD_4,PGM,pgm_max_whitened_mean,0.6072421932554538,0.5514260370153203,0.055816156240133474,0.09208726113692056,-0.03230969677913472,0.002413415263018616,-0.04710848155727225,0.9133578369138272,0.405937462167702
